Text,Category,label
uefa opens proceedings against barcelona juventus and real madrid over european super league plan uefa has opened disciplinary proceedings against barcelona juventus and real madrid over their involvement in the proposed european super league,sports,1
nigerias parliament passes amended electoral bill nigerias senate on tuesday passed the harmonised clause of the electoral act amendment bill which allows political,politics,0
south africa calls for calm as electoral reform protests continue in eswatini south africa has raised concerns about the deteriorating situation in the kingdom of eswatini with demonstrators in a sixthday protest,politics,0
guardiola to leave man city when contract expires in pep guardiola has said that he will leave manchester city when his contract runs out in and hopes,sports,1
nigeria sultan of sokoto seeks removal of immunity clause for politicians the sultan of sokoto and presidentgeneral of the nigeria supreme council for islamic affairs alhaji saad abubakar has called for,politics,0
again nigeria senate demands rejig of nigerias security architecture nigerian senators have commenced legislative activities for the year by asking the countrys president muhammadu buhari to direct the national security adviser the,politics,0
nigeria southeasts most important demand is reintegration agitations will end with igbo presidency says exsenate president anyim former senate president and presidential hopeful on the platform of the peoples democratic party pdp senator anyim pius anyim has,politics,0
premier league clubs reject project big picture premier league clubs have unanimously agreed that project big picture will not be endorsed or pursued the controversial plans proposed,sports,1
nigeria with advancement in technology no one can claim millions of votes again buhari says president muhammadu buhari on tuesday assured the nigerian people that with advancement in technology by the independent national electoral commission,politics,0
old trafford modified for socially distanced fans manchester united have modified old trafford to accommodate socially distanced spectators and insists they are bemused by the ongoing,sports,1
brilliant brentford beat arsenal after year exile from englands top flight brentford got the better of arsenal in the first match of the premier league season at the community stadium,sports,1
nigerias senate intent on passing oil reform bill the nigerian senate has fixed october to commence debate on the petroleum industry bill pib a move the senate,politics,0
unique euro set to begin all you need to know about delayed tournament euro gets underway on friday and what was already going to be a unique tournament will be notable,sports,1
maradona moved to rehab to recover from alcohol abuse argentina legend diego maradona who was discharged from hospital on tuesday has been taken to a recovery clinic to be,sports,1
uefa abolishes year old away goals rule in major shakeup of club competitions uefa on thursday abolished away goals rule in european tournament knockout ties and will take effect from the season,sports,1
trump remains defiant amid calls to resign president donald trump enters the last days of his presidency isolated and shunned by former allies and members of his,politics,0
man uniteds premier league title hopes fade as bruno fernandes rescues draw at west brom manchester uniteds premier league title hopes took a further hit as they were held to a draw by west,sports,1
germany france harden stance push for eu sanctions on russians over navalny poisoning france and germany said on wednesday they would propose european union sanctions against russian individuals after receiving no credible answers,politics,0
tunisia president saied withdraws diplomatic passport of predecessor tunisias president kais saied has said he will withdraw the diplomatic passport of one of his predecessors moncef marzouki after,politics,0
obaseki izeiyamu sign peace accord ahead of edo election candidates for the september governorship election in edo state signed a peace pact on tuesday pledging violencefree election the,politics,0
malawi opposition wants president chakwera removed from office malawis former ruling party turned opposition wants last years election nullified saying it was presided over by an electoral management,politics,0
china blames us for stalemate in relations as talks begin china came out swinging at highlevel facetoface talks with the united states on monday blaming the us for a stalemate,politics,0
donald trump sues hillary clinton over russian collusion allegations former us president donald trump has sued hillary clinton and several other democrats accusing them of trying to rig the,politics,0
nigeria days to presidential primary apc still divided on zoning may reopen sale of forms four days to the rescheduled presidential primariy of the ruling all progressives congress apc billed to hold monday june,politics,0
afcon algerias match undefeated run ends after equatorial guinea loss equatorial guinea have caused the greatest upset so far at this years africa cup of nations afcon defeating continental champions,sports,1
buhari says successor will inherit stable democracy revamped security forces nigeria president muhammadu buhari on monday disclosed that by the time he leaves office on may he would,politics,0
rice farmers buy apc presidential forms for nigerias central bank chief emefiele a coalition of rice farmers and other crop growers on friday moved to drag the governor of the central bank,politics,0
australian open navratilova blasts peng shuai tshirt ban retired tennis star martina navratilova has blasted a decision by australian open organisers to ban tshirts supporting chinese player peng,sports,1
former super eagles player barnabas imenger is dead a former super eagles striker and lobi stars team manager barnabas imenger is dead the teams media officer austin tyowua,sports,1
nigeria opportunistic politicians politicising security buhari says nigerias president muhammadu buhari has condemned what he described as the increasing politicization of security in the country by opportunistic politicians,politics,0
trumps defence team set to present speedy case in impeachment trial donald trumps defence lawyers are set to present evidence in the us senate denying charges he incited insurrection in the,politics,0
indian pm modi loses in battleground state of west bengal amid covid surge indian prime minister narendra modis party has failed to win a key state in elections held amid record covid deaths,politics,0
boxing legend marvelous marvin hagler dies aged former undisputed middleweight world champion marvelous marvin hagler has died at the age of the american dominated the middleweight,sports,1
nigeria football federation hijacks eguavoens stade malien move appoints him technical director former super eagles head coach austin eguavoen was tuesday announced as the new technical director of the nigeria football,sports,1
bayern munich targets us fans to close the financial gap with premier league bayerns aim is to help stimulate interest in the german league which is far behind the premier league in terms,sports,1
trump ready to leave white house if electoral college votes for biden us president donald trump said on thursday he will leave the white house if the electoral college votes for democratic,politics,0
verstappen wins first f title in last lap drama red bulls max verstappen won the formula one championship denying lewis hamilton a record eighth with a lastlap overtake to,sports,1
bayern munich disapprove of flicks desire to leave coaching role bayern munich have announced that they disapprove with coach hansi flicks plans to leave the club at the end of,sports,1
kenin downs kvitova to set up french open final with swiatek sofia kenin on thursday defeated petra kvitova to reach the french open final and attempt to capture a,sports,1
nigeria former central bank governor soludo wins anambra apga governorship primary charles soludo a former governor of nigerias central bank has won the governorship primary of the all progressives grand alliance,politics,0
intels says buharis administration not interfering in its business attributes severance from atiku to economic decision intels nigeria limited with its parent company orlean invest holding has denied reports that its business has at some time,politics,0
nigeria southeast southsouth leaders reject pdps panel report insist on power shift southeast and southsouth leaders on friday rejected the report of a committee set up by the peoples democratic party pdp,politics,0
whyte avenges defeat with knockout win over povetkin in gibraltar rematch dillian whyte kept alive his hopes of a heavyweight world title shot by emphatically gaining revenge over alexander povetkin with,sports,1
morocco super falcons soar to win over botswana rise to nd spot in group c cup holders nigeria set their th women africa cup of nations campaign back on track with a win over,sports,1
nba basketball africa league launch gender equality initiative in commemoration of international womens day the national basketball association nba and the basketball africa league bal has announced the launch,sports,1
adeleke vows to defend retain his victory in osun governor oyetola claims adeleke forged the certificates submitted to inec and did not comply with the provisions of the electoral,politics,0
crystal palace chelsea pulisic scores twice as brilliant blues move back into top four christian pulisic scored twice as chelsea produced a brilliant performance to move back into the top four with a comfortable,sports,1
nigeria pdp governors reach deal with embattled party chairman to bring convention forward after meeting for over minutes behind closed doors on monday the peoples democratic party pdp governors and the embattled,politics,0
champions league ramos to miss real madrids opener with shakhtar sergio ramos will miss real madrids clash with shakhtar donetsk in the champions league while eden hazards fitness is improving,sports,1
americans go to the polls in most divisive election in decades millions of americans are voting in person on tuesday adding their ballots to the more than million already cast,politics,0
la lakers double lead over miami heat in nba finals with win lebron james scored points as the los angeles lakers moved to within two wins of their first nba title,sports,1
seven lawmakers arrested in hong kong seven prodemocratic lawmakers were arrested in hong kong on sunday on charges related to obstructing a legislative council meeting in,politics,0
presidential election muslim running mates for apc pdp will set nigeria on fire christian leaders warn ahead of the general elections the christian association of nigeria can has warned political actors of the consequences of,politics,0
nigeria rivers governor wike shuns governor obaseki during visit to edo meets states delegates the political difference between the rivers state governor nyesom wike and his edo state counterpart godwin obaseki appears not to,politics,0
european clubs dont trust african keepers former super eagles goalie says nigerias dele aiyenugba who won two african champions league titles with enyimba said wednesday that european clubs didnt trust black,sports,1
simone biles will not defend her olympic gold medal on floor exercise usa gymnastics announced sunday that the sixtime olympic medalist has opted not to compete on floor where she won gold,sports,1
nigerias sports minister demands victory as super eagles depart for freetown nigerias minister of youth and sports development sunday dare has insisted that only a win in freetown will be acceptable,sports,1
neymar would rather brazil play argentina in copa america final brazil forward neymar says he hopes argentina will be their opponents in the copa america final and has no doubts,sports,1
morata goal sends spain to world cup consigns sweden to playoffs alvaro moratas late goal helped spain qualify for the world cup and consigned sweden to the playoffs sweden goalkeeper,sports,1
nigeria apc begins sale of forms on monday ahead of national convention the all progressives congress apc will on monday commence the sale of forms to all aspirants vying for national offices,politics,0
nigeria police whisk away eximo governorship contestant nwosu in dramatic arrest the imo state police command confirmed on sunday the arrest of a former governorship candidate of the action alliance aa,politics,0
fulham relegated from premier league following burnley loss fulham were relegated from the premier league on monday after losing at home to fellow strugglers burnley who secured,sports,1
nigeria entrenched apc interests desperate to blackmail me governors chairman fayemi says ekiti state governor and chairman of the nigeria governors forum ngf dr kayode fayemi has disclosed that there are some,politics,0
napoli handed loss have point deducted for juve no show victor osimhen and his napoli teammates have suffered the consequence of refusing to go to turin to play juventus in,sports,1
drama as joe igbokwe pulls down post saying wike visited tinubu in france barely a few hours after the tinubu media office debunked reports that the presidential standardbearer of the all progressives congress,politics,0
fa cup final world snooker championship among uks pilot events for fan return the fa cup final and the world snooker championship are to be used as pilot events as part of the,sports,1
nigerian sprinter blessing okagbare banned years for doping nigerias long jump silver medalist blessing okagbare has been banned for years for doping the athletics integrity unit,sports,1
obama blasts trump in campaign trail debut former president barack obama returned to the campaign trail on wednesday with a blistering attack on donald trump with less,politics,0
egypts al ahly beat kaizer chiefs to win record tenth african crown egyptian heavyweights al ahly beat kaizer chiefs in morocco on saturday night to become the first side in history,sports,1
congo presidential candidate in hospital with covid as polls open the leading opposition candidate in congobrazzavilles presidential election is in hospital with covid while voting is under way after casting,politics,0
copa america neymar inspires brazil to win over peru neymar moved to within nine goals of peles alltime scoring record as brazil eased past peru to earn a second,sports,1
nigeria south middle belt leaders urge parties to zone presidency to south the southern and middle belt leaders forum smblf has met in abuja and once again demanded the return of power,politics,0
